Date,PRK
2013-01-02,43.24126052856445
2013-01-03,43.000125885009766
2013-01-04,43.32598876953125
2013-01-07,42.88932800292969
2013-01-08,43.123958587646484
2013-01-09,42.98057556152344
2013-01-10,42.961029052734375
2013-01-11,42.76551818847656
2013-01-14,42.94800567626953
2013-01-15,42.85675811767578
2013-01-16,42.60258102416992
2013-01-17,42.94147872924805
2013-01-18,42.73944091796875
2013-01-22,43.18260192871094
2013-01-23,42.9154052734375
2013-01-24,42.97406005859375
2013-01-25,42.81112289428711
2013-01-28,43.000125885009766
2013-01-29,42.772029876708984
2013-01-30,42.459205627441406
2013-01-31,42.65471649169922
2013-02-01,42.99361801147461
2013-02-04,42.687313079833984
2013-02-05,42.94800567626953
2013-02-06,42.88932800292969
2013-02-07,42.88932800292969
2013-02-08,43.06529998779297
2013-02-11,43.28688430786133
2013-02-12,43.63228988647461
2013-02-13,43.925559997558594
2013-02-14,44.336143493652344
2013-02-15,44.336143493652344
2013-02-19,44.86402893066406
2013-02-20,44.21650695800781
2013-02-21,44.3949089050293
2013-02-22,44.48741149902344
2013-02-25,43.65488052368164
2013-02-26,43.859710693359375
2013-02-27,43.707740783691406
2013-02-28,43.59542465209961
2013-03-01,43.826663970947266
2013-03-04,43.42362594604492
2013-03-05,43.489681243896484
2013-03-06,43.76060485839844
2013-03-07,44.2363395690918
2013-03-08,44.262752532958984
2013-03-11,44.269371032714844
2013-03-12,44.28919219970703
2013-03-13,44.269371032714844
2013-03-14,44.52705764770508
2013-03-15,46.053348541259766
2013-03-18,45.253868103027344
2013-03-19,45.14813995361328
2013-03-20,45.1613655090332
2013-03-21,45.07548141479492
2013-03-22,45.524757385253906
2013-03-25,46.013710021972656
2013-03-26,46.25157165527344
2013-03-27,46.205326080322266
2013-03-28,46.112815856933594
2013-04-01,45.67673873901367
2013-04-02,45.03582763671875
2013-04-03,44.57330322265625
2013-04-04,45.009395599365234
2013-04-05,44.79795837402344
2013-04-08,44.9102783203125
2013-04-09,44.37509536743164
2013-04-10,45.4851188659668
2013-04-11,45.095298767089844
2013-04-12,45.174564361572266
2013-04-15,44.269371032714844
2013-04-16,44.63277053833008
2013-04-17,43.74078369140625
2013-04-18,43.60863494873047
2013-04-19,44.5402717590332
2013-04-22,44.11738967895508
2013-04-23,45.194400787353516
2013-04-24,45.062259674072266
2013-04-25,45.128318786621094
2013-04-26,44.67902374267578
2013-04-29,44.93672180175781
2013-04-30,45.181190490722656
2013-05-01,43.6152458190918
2013-05-02,44.46759033203125
2013-05-03,45.088687896728516
2013-05-06,45.59083938598633
2013-05-07,46.41014862060547
2013-05-08,46.11943817138672
2013-05-09,45.92121505737305
2013-05-10,46.007102966308594
2013-05-13,46.324256896972656
2013-05-14,46.85284423828125
2013-05-15,46.991600036621094
2013-05-16,47.308753967285156
2013-05-17,47.29554748535156
2013-05-20,47.53658676147461
2013-05-21,47.37588882446289
2013-05-22,46.324745178222656
2013-05-23,46.605926513671875
2013-05-24,46.753231048583984
2013-05-28,46.90720748901367
2013-05-29,46.244384765625
2013-05-30,46.873741149902344
2013-05-31,46.251075744628906
2013-06-03,47.45622634887695
2013-06-04,46.57913589477539
2013-06-05,46.18412780761719
2013-06-06,46.61931610107422
2013-06-07,46.49879455566406
2013-06-10,47.03443908691406
2013-06-11,46.753231048583984
2013-06-12,46.364906311035156
2013-06-13,47.18843078613281
2013-06-14,46.43855285644531
2013-06-17,46.22428894042969
2013-06-18,46.66617965698242
2013-06-19,46.431846618652344
2013-06-20,46.17742919921875
2013-06-21,45.92969512939453
2013-06-24,45.56147384643555
2013-06-25,47.02103042602539
2013-06-26,46.532283782958984
2013-06-27,46.7331428527832
2013-06-28,46.05690383911133
2013-07-01,47.36920166015625
2013-07-02,47.663787841796875
2013-07-03,48.092288970947266
2013-07-05,48.89571762084961
2013-07-08,50.21469497680664
2013-07-09,51.02481460571289
2013-07-10,51.051605224609375
2013-07-11,50.31511306762695
2013-07-12,50.20800018310547
2013-07-15,50.6833610534668
2013-07-16,50.616397857666016
2013-07-17,50.95784378051758
2013-07-18,51.6073112487793
2013-07-19,52.062591552734375
2013-07-22,52.49108123779297
2013-07-23,53.187400817871094
2013-07-24,53.56233596801758
2013-07-25,53.56903839111328
2013-07-26,53.23429489135742
2013-07-29,52.75890350341797
2013-07-30,52.839237213134766
2013-07-31,52.82585525512695
2013-08-01,53.749794006347656
2013-08-02,53.3681640625
2013-08-05,53.57571792602539
2013-08-06,53.475303649902344
2013-08-07,53.35478973388672
2013-08-08,53.595821380615234
2013-08-09,53.58241653442383
2013-08-12,53.95735549926758
2013-08-13,53.649375915527344
2013-08-14,53.58241653442383
2013-08-15,53.113746643066406
2013-08-16,53.56233596801758
2013-08-19,53.53554916381836
2013-08-20,54.27204513549805
2013-08-21,53.69625473022461
2013-08-22,54.18397521972656
2013-08-23,54.03493881225586
2013-08-26,53.764015197753906
2013-08-27,52.280521392822266
2013-08-28,52.036659240722656
2013-08-29,52.57181930541992
2013-08-30,51.542171478271484
2013-09-03,52.063751220703125
2013-09-04,52.53115463256836
2013-09-05,52.89692306518555
2013-09-06,52.83598327636719
2013-09-09,53.215309143066406
2013-09-10,54.33978271484375
2013-09-11,53.74365997314453
2013-09-12,53.19498062133789
2013-09-13,53.52016067504883
2013-09-16,53.85205078125
2013-09-17,54.055274963378906
2013-09-18,53.68948745727539
2013-09-19,52.84275436401367
2013-09-20,53.1746711730957
2013-09-23,53.24918746948242
2013-09-24,53.50659942626953
2013-09-25,53.55400466918945
2013-09-26,53.824954986572266
