Date,IVZ
2013-01-02,17.784019470214844
2013-01-03,17.81700897216797
2013-01-04,18.1798095703125
2013-01-07,18.12703514099121
2013-01-08,17.96213150024414
2013-01-09,18.05447769165039
2013-01-10,18.1798095703125
2013-01-11,18.298547744750977
2013-01-14,18.034690856933594
2013-01-15,18.160018920898438
2013-01-16,17.96213150024414
2013-01-17,18.12703514099121
2013-01-18,18.245777130126953
2013-01-22,18.397493362426758
2013-01-23,18.199602127075195
2013-01-24,18.31833839416504
2013-01-25,18.601987838745117
2013-01-28,18.46346092224121
2013-01-29,18.687734603881836
2013-01-30,18.654760360717773
2013-01-31,17.97532081604004
2013-02-01,18.31833839416504
2013-02-04,17.995115280151367
2013-02-05,18.199602127075195
2013-02-06,18.140233993530273
2013-02-07,18.034690856933594
2013-02-08,18.014896392822266
2013-02-11,18.094058990478516
2013-02-12,18.27876091003418
2013-02-13,18.225988388061523
2013-02-14,18.324928283691406
2013-02-15,18.047882080078125
2013-02-19,18.3612060546875
2013-02-20,18.029294967651367
2013-02-21,17.458410263061523
2013-02-22,17.65091896057129
2013-02-25,17.212799072265625
2013-02-26,17.02029037475586
2013-02-27,17.551342010498047
2013-02-28,17.783679962158203
2013-03-01,17.81023597717285
2013-03-04,18.22844123840332
2013-03-05,18.387758255004883
2013-03-06,18.440860748291016
2013-03-07,18.547077178955078
2013-03-08,18.65991973876953
2013-03-11,18.75286293029785
2013-03-12,18.666561126708984
2013-03-13,18.8856201171875
2013-03-14,19.137868881225586
2013-03-15,19.337018966674805
2013-03-18,19.190982818603516
2013-03-19,18.819238662719727
2013-03-20,18.985191345214844
2013-03-21,18.766128540039062
2013-03-22,18.845792770385742
2013-03-25,18.799320220947266
2013-03-26,19.078123092651367
2013-03-27,19.01838493347168
2013-03-28,19.224172592163086
2013-04-01,18.832515716552734
2013-04-02,19.137868881225586
2013-04-03,18.67983627319336
2013-04-04,19.044939041137695
2013-04-05,18.832515716552734
2013-04-08,19.091405868530273
2013-04-09,19.17106056213379
2013-04-10,19.83487892150879
2013-04-11,20.03402328491211
2013-04-12,20.00083351135254
2013-04-15,19.2175235748291
2013-04-16,19.589271545410156
2013-04-17,19.038301467895508
2013-04-18,18.799320220947266
2013-04-19,19.177701950073242
2013-04-22,19.383485794067383
2013-04-23,19.708757400512695
2013-04-24,19.702117919921875
2013-04-25,19.715394973754883
2013-04-26,19.615821838378906
2013-04-29,19.722026824951172
2013-04-30,21.069581985473633
2013-05-01,20.870437622070312
2013-05-02,21.10940933227539
2013-05-03,21.547529220581055
2013-05-06,21.62718963623047
2013-05-07,21.64710235595703
2013-05-08,21.90599250793457
2013-05-09,21.886077880859375
2013-05-10,22.642831802368164
2013-05-13,22.596363067626953
2013-05-14,22.888437271118164
2013-05-15,23.11896324157715
2013-05-16,22.91851234436035
2013-05-17,23.112285614013672
2013-05-20,23.11896324157715
2013-05-21,23.012048721313477
2013-05-22,22.74478530883789
2013-05-23,22.410696029663086
2013-05-24,22.424057006835938
2013-05-28,23.045469284057617
2013-05-29,22.83165168762207
2013-05-30,23.145689010620117
2013-05-31,22.544334411621094
2013-06-03,22.357240676879883
2013-06-04,22.25033187866211
2013-06-05,21.769245147705078
2013-06-06,22.143423080444336
2013-06-07,23.012048721313477
2013-06-10,22.891780853271484
2013-06-11,22.46414566040039
2013-06-12,22.156789779663086
2013-06-13,22.72473907470703
2013-06-14,22.397335052490234
2013-06-17,22.951919555664062
2013-06-18,23.07887840270996
2013-06-19,22.72473907470703
2013-06-20,21.916242599487305
2013-06-21,21.922924041748047
2013-06-24,20.913976669311523
2013-06-25,21.047611236572266
2013-06-26,21.328243255615234
2013-06-27,21.722475051879883
2013-06-28,21.248064041137695
2013-07-01,21.21465492248535
2013-07-02,21.040929794311523
2013-07-03,21.014198303222656
2013-07-05,21.328243255615234
2013-07-08,21.334928512573242
2013-07-09,21.41510772705078
2013-07-10,20.940710067749023
2013-07-11,21.428468704223633
2013-07-12,21.21465492248535
2013-07-15,21.468564987182617
2013-07-16,21.341611862182617
2013-07-17,21.261425018310547
2013-07-18,21.729156494140625
2013-07-19,21.709102630615234
2013-07-22,22.04987907409668
2013-07-23,22.03651237487793
2013-07-24,21.84273910522461
2013-07-25,21.916242599487305
2013-07-26,21.949649810791016
2013-07-29,21.535375595092773
2013-07-30,21.54205894470215
2013-07-31,21.508655548095703
2013-08-01,22.07660675048828
2013-08-02,22.116701126098633
2013-08-05,22.130056381225586
2013-08-06,22.056562423706055
2013-08-07,21.829376220703125
2013-08-08,21.782609939575195
2013-08-09,21.76256561279297
2013-08-12,21.582149505615234
2013-08-13,22.130056381225586
2013-08-14,21.96969985961914
2013-08-15,21.4552001953125
2013-08-16,21.408424377441406
2013-08-19,20.99459457397461
2013-08-20,21.169546127319336
2013-08-21,20.920574188232422
2013-08-22,21.263750076293945
2013-08-23,21.24357032775879
2013-08-26,21.014780044555664
2013-08-27,20.402437210083008
2013-08-28,20.516834259033203
2013-08-29,20.765806198120117
2013-08-30,20.429357528686523
2013-09-03,20.584121704101562
2013-09-04,20.853281021118164
2013-09-05,20.69851303100586
2013-09-06,20.489917755126953
2013-09-09,20.745615005493164
2013-09-10,21.108985900878906
2013-09-11,21.014780044555664
2013-09-12,20.893657684326172
2013-09-13,20.90038299560547
2013-09-16,21.27048683166504
2013-09-17,21.310853958129883
2013-09-18,21.90300941467285
2013-09-19,21.956844329833984
2013-09-20,21.956844329833984
2013-09-23,21.855907440185547
2013-09-24,21.667495727539062
2013-09-25,21.573286056518555
2013-09-26,21.687679290771484
